Date,Year,City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI Level
1/2/2023,2023,Jaipur,96.58,404.57,128.83,79.11,148.31,85.78,0.74,11.19,154.3,6.76,30.99,4.77,404.57,Severe
1/2/2023,2023,Lucknow,81.52,479.77,139.67,158.71,12.71,53.25,0.6,21.28,153.05,6.8,13.11,0.98,479.77,Severe
1/3/2023,2023,Delhi,290.34,277.13,52.9,191.11,90.69,18.69,4.45,48.31,27.73,7.83,19.52,0.73,445,Severe
1/3/2023,2023,Mumbai,376.92,48.06,134.73,45.72,239.88,9.62,3.57,11.01,157.78,9.86,23.21,3.75,376.92,Very Poor
1/3/2023,2023,Chennai,257.39,462.13,8.03,106.82,13.04,15.16,3.56,18.28,42.1,2.39,48.29,1.19,462.13,Severe
1/3/2023,2023,Kolkata,155.79,72.65,123.37,74.33,104.3,66.46,4,67.83,126.84,6.22,12.56,2.18,400,Very Poor
1/3/2023,2023,Bengaluru,210.3,175.14,36.57,23.63,60.13,53.03,2.56,34.9,70.49,5.88,8.53,0.19,256,Poor
1/3/2023,2023,Hyderabad,184.63,262.24,7.41,63.89,42.59,26.6,1.07,111.01,151.53,6.19,6.17,0.55,262.24,Poor
1/3/2023,2023,Ahmedabad,362.82,29.34,14.42,148.22,237.45,61.42,0.99,44.24,113.27,8.45,12.8,0.93,362.82,Very Poor
1/3/2023,2023,Pune,122.6,396.6,69.02,34.12,133.13,17.71,1.85,114.73,79.94,4.48,15.48,0.54,396.6,Very Poor
1/3/2023,2023,Jaipur,300.65,42.42,128.31,179.26,214.45,39.54,2.77,39.25,42.28,6.65,33.71,2.17,300.65,Very Poor
1/3/2023,2023,Lucknow,103.2,367.46,104.38,186.11,146.85,13.73,2.94,9.6,86.77,4.14,45,2.37,367.46,Very Poor
1/4/2023,2023,Delhi,336.45,483.29,81.99,145.87,77.75,74.49,4.42,31.52,166.86,9.22,37.6,4.84,483.29,Severe
1/4/2023,2023,Mumbai,287.79,152.71,102.79,101.11,23.49,93.5,2.79,110.77,142.48,7.59,0.7,0.82,287.79,Poor
1/4/2023,2023,Chennai,257.4,273.88,106.1,134.49,58.62,63.34,3.15,107.92,51.41,7.44,5.58,2.01,315,Very Poor
1/4/2023,2023,Kolkata,294.47,446.51,30.12,33.03,80.6,12.5,2.82,143.89,32,0.45,9.1,3.31,446.51,Severe
1/4/2023,2023,Bengaluru,258.02,60.58,35.74,175.1,16.29,57.25,4.46,64.36,53.82,6.85,29.32,3.79,446,Severe
1/4/2023,2023,Hyderabad,53.72,413.93,138.62,193.75,62.1,9.36,3.38,131.07,161.6,5.47,33.77,0.74,413.93,Severe
1/4/2023,2023,Ahmedabad,171.04,303.88,145.01,15.78,37.13,62.33,2.1,49.24,95.24,0.42,23.19,4.72,303.88,Very Poor
1/4/2023,2023,Pune,395.73,414.73,90.1,156.27,180.79,68.98,0.74,134.15,117.71,5.49,10.96,3.86,414.73,Severe
1/4/2023,2023,Jaipur,208.31,107.95,102.34,29.09,93.29,36.56,1.11,141.78,137.73,2.49,22.26,4.59,208.31,Poor
1/4/2023,2023,Lucknow,270.07,252.48,30.44,142.83,122.49,65.15,4.99,47.63,153.27,8.12,49.52,3.28,499,Severe
1/5/2023,2023,Delhi,290.58,311.38,94.68,130.32,193.7,12.21,2.57,51.98,159.26,5.72,4.75,1.6,311.38,Very Poor
1/5/2023,2023,Mumbai,236.69,161.48,50.75,149.21,101.1,89.56,4.61,135.85,18.15,4.6,7.55,3.75,461,Severe
1/5/2023,2023,Chennai,379.54,356.29,112.47,197.39,236.97,75.23,0.56,110.26,142.03,4.35,3.8,1.19,379.54,Very Poor
1/5/2023,2023,Kolkata,394.36,184.8,87.57,194.51,146.23,21.71,4.1,63.26,113.48,3.76,5,3.89,410,Severe
1/5/2023,2023,Bengaluru,387.46,25.68,125.64,34.03,124.45,61.24,3.79,104.61,108.2,8.08,37.61,2.87,387.46,Very Poor
1/5/2023,2023,Hyderabad,168.62,156.13,90.59,103.84,154.61,11.98,0.83,49.61,76.55,1.14,41.56,2,168.62,Moderate
1/5/2023,2023,Ahmedabad,135.08,85.22,98.06,83.91,169.12,33.81,2.95,92.78,8.96,1.07,29.45,3.21,295,Poor
1/5/2023,2023,Pune,225.34,272.81,66.64,162.75,241.75,63.35,0.44,15.11,136.85,8.78,8.76,4.55,272.81,Poor
1/5/2023,2023,Jaipur,351.56,159.18,87.74,178.67,59,2.88,0.21,35.88,114.65,0.4,41.98,3.28,351.56,Very Poor
1/5/2023,2023,Lucknow,349.03,496.94,18.68,124.99,159.46,75.59,0.13,117.85,165.02,8.76,36.64,3.26,496.94,Severe
1/6/2023,2023,Delhi,142.35,118.14,64.66,55.39,46.9,76.32,4.49,94.19,36.17,3.29,11.91,1.77,449,Severe
1/6/2023,2023,Mumbai,258.94,117.8,92.12,122.94,179.05,99.49,1.06,24.56,175.39,1.07,48.68,2.31,258.94,Poor
1/6/2023,2023,Chennai,142.78,132.28,8.36,140.28,142.36,84.91,3.61,94.33,19.18,6.15,17.42,3.34,361,Very Poor
1/6/2023,2023,Kolkata,374.73,448.84,56.17,61.5,66.36,14.2,3.4,24.04,36.63,2.72,8.53,1.32,448.84,Severe
1/6/2023,2023,Bengaluru,384.32,131.58,82.83,86.67,187.79,22.48,4.06,12.39,26.56,9.29,13.1,2.73,406,Severe
1/6/2023,2023,Hyderabad,80.66,461.74,147.99,136.55,151.37,9.05,2.59,17.06,140.63,9.65,48.28,2.47,461.74,Severe
1/6/2023,2023,Ahmedabad,178.71,45.92,60.85,29.78,229.12,91.72,2.74,16.94,23.24,5.93,24.23,3,274,Poor
1/6/2023,2023,Pune,66.42,383.45,134.95,35.74,185.49,27.13,2.69,35.92,173.43,5.59,1.97,2.48,383.45,Very Poor
1/6/2023,2023,Jaipur,90.8,106.83,69.08,131.99,114.05,77.56,2.78,14.93,82.39,5.54,40.5,2.32,278,Poor
1/6/2023,2023,Lucknow,168.1,390.99,15.08,58.29,156.68,7.45,2.27,22.61,71.74,6.25,7.85,2.97,390.99,Very Poor
1/7/2023,2023,Delhi,161.9,333.33,142.67,98.66,145.34,75.48,2.08,80.28,23.52,3.88,33.36,1.4,333.33,Very Poor
1/7/2023,2023,Mumbai,283.4,246.37,60.8,93.88,101.34,59.75,1.92,65.58,71.8,9.5,7.03,3.89,283.4,Poor
1/7/2023,2023,Chennai,169.75,399.14,119.74,111.77,164.67,64.12,0.61,97.17,141.99,5.24,39.44,1.12,399.14,Very Poor
1/7/2023,2023,Kolkata,308.26,326.59,100.67,59.77,126.4,42.55,0.9,43.78,141.85,3.81,1.95,2.14,326.59,Very Poor
1/7/2023,2023,Bengaluru,143.35,335.8,144.98,104.23,65.51,55.61,1.7,139.86,138.02,0.89,16.81,1.17,335.8,Very Poor
1/7/2023,2023,Hyderabad,72.86,250.89,18.35,191.09,211.8,38.51,3.61,97.91,131.75,1.32,1.8,1.53,361,Very Poor
1/7/2023,2023,Ahmedabad,398.88,293.87,76.27,117.14,77.16,2.63,0.2,13.69,123.48,8.51,39.83,3.15,398.88,Very Poor
1/7/2023,2023,Pune,12.68,331.79,124.43,113.23,53.88,59.19,1.2,19.43,108.5,1.54,24.56,0.38,331.79,Very Poor
1/7/2023,2023,Jaipur,313.26,38.35,56.64,164.7,195.64,80.83,3.94,60.24,23.62,8.54,26.67,4.08,394,Very Poor
1/7/2023,2023,Lucknow,266.81,57.5,93.87,41.77,143.77,59.74,0.87,80.3,51.3,4.64,46.98,3.63,266.81,Poor
1/8/2023,2023,Delhi,253.13,453.53,109.86,123.19,176.7,60.76,0.84,73.48,153.41,5.33,29.48,2.28,453.53,Severe
1/8/2023,2023,Mumbai,114.37,483.79,60.84,120.37,108.79,67.27,4.18,128.28,112.59,7.5,7.61,0.46,483.79,Severe
1/8/2023,2023,Chennai,124.12,78.77,78.55,54.68,215.56,50.64,4.17,25.61,171.3,1.4,35.33,2.42,417,Severe
1/8/2023,2023,Kolkata,331.41,433.4,115.42,188.14,140.15,72.26,3.95,129.56,157.62,1.58,20.79,3.02,433.4,Severe
1/8/2023,2023,Bengaluru,334.49,311.23,137.93,56.94,173.13,16.61,3.55,109.73,89.75,2.91,31.46,1.93,355,Very Poor
1/8/2023,2023,Hyderabad,394.67,108.94,136.92,171.52,197.86,78.38,0.44,34.62,134.36,4.76,30.43,4.74,394.67,Very Poor
1/8/2023,2023,Ahmedabad,294.7,22.79,122.38,89.74,249.2,40.21,0.77,37.7,114.61,4.3,48.21,4.11,294.7,Poor
1/8/2023,2023,Pune,147.55,348.08,100.33,36.15,86.7,33.88,3.34,95.82,18.97,5.09,29.14,1.28,348.08,Very Poor
1/8/2023,2023,Jaipur,350.56,150.15,32.92,192.39,59.34,99.24,4.32,106.47,44.75,2.52,8.79,0.42,432,Severe
1/8/2023,2023,Lucknow,133.76,37.72,108.73,111.15,243.52,44.97,0.88,64.05,22.47,9.25,14.21,4.73,133.76,Moderate
1/9/2023,2023,Delhi,117.09,141.44,109.93,60.78,199.99,10.81,4.46,106.91,169.43,7.89,9.37,3.25,446,Severe
1/9/2023,2023,Mumbai,116.76,231.78,22.08,20.99,207.95,18.75,0.75,74.94,75.79,3.71,24.78,1.39,231.78,Poor
1/9/2023,2023,Chennai,334.27,285.37,34.37,163.28,114.91,3.76,2.73,68.7,93.49,6.7,29.13,1.11,334.27,Very Poor
1/9/2023,2023,Kolkata,377.84,278.85,104.81,94.65,61.06,54.7,4.64,16.38,163.1,1.59,19.66,1.32,464,Severe
1/9/2023,2023,Bengaluru,75.02,122.77,54.49,106.64,31.72,90.62,1.02,52.33,98.36,3.11,11.78,0.45,122.77,Moderate
1/9/2023,2023,Hyderabad,357.9,370.7,59.5,28.33,234.55,79.18,3.73,70.63,11.56,9.09,25.91,1.81,373,Very Poor
1/9/2023,2023,Ahmedabad,66.78,181.02,141.45,85.77,138.21,97.46,3.11,70.65,89.37,3.34,26.09,3,311,Very Poor
1/9/2023,2023,Pune,310.24,292.16,59.88,15.17,89.18,15.11,4.52,80.89,98.32,3.99,39.29,4.83,452,Severe
1/9/2023,2023,Jaipur,163.06,419.67,130.98,171.39,36.9,10.2,0.79,47.98,149.25,0.9,14.72,0.26,419.67,Severe
1/9/2023,2023,Lucknow,93.21,452.32,57.55,63.3,212.71,89.26,3.52,62.24,38.75,7.2,20.45,3.14,452.32,Severe
1/10/2023,2023,Delhi,363.59,39.65,24.73,26.09,99.84,25.56,3.24,109.19,149.49,7.63,28.51,0.54,363.59,Very Poor
1/10/2023,2023,Mumbai,271.73,431.3,92.61,78.36,111.36,53.97,4.99,113.23,147.9,3.59,16.81,4.08,499,Severe
1/10/2023,2023,Chennai,331.9,53.26,20.8,143.89,203.41,46.91,3,134.79,164.22,5.01,34.14,0.45,331.9,Very Poor
1/10/2023,2023,Kolkata,78.88,305.75,147.26,95.1,170.94,50.73,4.88,124.89,165.93,6.32,20.19,4.78,488,Severe
1/10/2023,2023,Bengaluru,358.31,34.18,136.87,94.65,56.72,31.95,0.14,67.27,141.67,5.9,24.1,1.88,358.31,Very Poor
1/10/2023,2023,Hyderabad,345.04,93.63,15.87,66.5,71.59,62.93,3.4,84.95,33.42,0.97,8.72,4.8,345.04,Very Poor
1/10/2023,2023,Ahmedabad,375.19,233.67,79.43,90.98,141.83,27.91,4.74,42.31,165.93,3.26,40.65,3.99,474,Severe
1/10/2023,2023,Pune,59.92,238,24.48,130.72,229.28,57.88,4.96,7.65,89.32,2.97,28.54,0.21,496,Severe
1/10/2023,2023,Jaipur,128.73,168.21,65.37,104.07,119.91,38,3.73,38.22,78.72,9.68,2.63,4.71,373,Very Poor
1/10/2023,2023,Lucknow,38.19,319.43,18.05,143.51,51.18,61.77,3.11,104.84,138.22,6.45,45.47,0.36,319.43,Very Poor
1/11/2023,2023,Delhi,349.04,160.26,99.05,90,75.15,39.14,0.28,117.19,135.6,7.21,7.04,0.41,349.04,Very Poor
1/11/2023,2023,Mumbai,196.19,235.82,147.61,57.14,188.23,83.09,1.17,37.82,105.62,5.44,4.94,0.05,235.82,Poor
1/11/2023,2023,Chennai,330.53,275.41,134.27,88.1,12.01,69.9,2.61,26.52,113.29,0.71,36.43,0.99,330.53,Very Poor
1/11/2023,2023,Kolkata,323.85,144.15,47.36,172.45,225.21,26.67,1.55,108.92,176.28,7.23,49.74,0.56,323.85,Very Poor
1/11/2023,2023,Bengaluru,343.98,149.79,86.6,20.78,140.35,97.09,2.59,94.96,160.55,2.31,41.72,1.18,343.98,Very Poor
1/11/2023,2023,Hyderabad,317.74,385.25,46.14,72.93,236.64,49.53,2.54,135.5,179.24,3.89,14.96,2.63,385.25,Very Poor
1/11/2023,2023,Ahmedabad,371.31,31.5,64.59,191.31,15.9,42.65,0.49,88.87,175.74,4.31,49.33,0.59,371.31,Very Poor
1/11/2023,2023,Pune,317.93,261.68,27.96,32.5,26.09,41.75,1.2,31.09,144.35,0.38,37.48,3.1,317.93,Very Poor
1/11/2023,2023,Jaipur,63.12,498.99,37.31,121.87,61.82,77.33,4.97,15.67,168.09,8.76,16.85,2.92,498.99,Severe
1/11/2023,2023,Lucknow,289.26,77.42,71.68,29.86,84.3,11.87,2.52,13.26,113.87,6.35,20.14,1.2,289.26,Poor
1/12/2023,2023,Delhi,359.92,233.13,67.25,39.81,36.93,90.48,2.41,147.48,119.83,9.07,27.31,4.71,359.92,Very Poor
1/12/2023,2023,Mumbai,70.72,321.76,55.69,47.91,136.79,8.03,3.86,9.49,27.53,5.58,11.15,3.14,386,Very Poor
1/12/2023,2023,Chennai,259.9,94.61,39,12,149.09,26.8,0.32,104.56,137.19,5.87,41.08,2,259.9,Poor
1/12/2023,2023,Kolkata,44.6,210.5,30.78,89.87,25.28,41.76,2.67,104.95,162.77,9.2,12.82,4.66,267,Poor
1/12/2023,2023,Bengaluru,43.96,370.86,106.08,12.33,141.97,95.78,0.42,35.89,95.14,1.73,26.77,0.89,370.86,Very Poor
1/12/2023,2023,Hyderabad,387.13,465.89,104.03,78.5,216.59,95.31,1.14,36.07,138.33,0.7,39.74,2.91,465.89,Severe
1/12/2023,2023,Ahmedabad,249.64,247.9,33.02,150.27,35.13,39.24,3.9,111.98,171.43,6.11,16.53,1.23,390,Very Poor
1/12/2023,2023,Pune,202.07,242.73,142.74,11.9,140.83,97.86,0.18,26.29,35.9,9.32,12.09,1.43,242.73,Poor
1/12/2023,2023,Jaipur,182.81,52.49,98.68,129,148.39,15.22,4.28,6.88,109.75,2.3,39.83,3.91,428,Severe
1/12/2023,2023,Lucknow,375.15,208.68,11.39,103.1,188.14,36.04,1.07,134.27,152.44,6.45,23.91,1.48,375.15,Very Poor
1/13/2023,2023,Delhi,59.69,134.19,62.2,44.38,47.69,58.37,0.6,54.97,150.67,1.15,48.11,3.6,134.19,Moderate
1/13/2023,2023,Mumbai,335.87,376.96,62.91,189.52,242.44,42.13,2.58,71.45,96.07,7.67,7.74,1.28,376.96,Very Poor
1/13/2023,2023,Chennai,33.75,222.71,131.68,108.22,77.81,79.33,2.51,48.48,154.13,8.26,9.65,0.12,251,Poor
1/13/2023,2023,Kolkata,202.51,274.11,37.15,45.93,110.56,15.01,1.02,69.32,77.64,0.93,17.64,2.54,274.11,Poor
1/13/2023,2023,Bengaluru,331.87,323.43,117.12,106.12,246.83,47.06,4.5,65.44,171.44,8.63,44.19,0.5,450,Severe
1/13/2023,2023,Hyderabad,158.18,356.61,98.15,104.86,92.64,4.92,2.77,20.04,25.01,0.72,27.54,3.97,356.61,Very Poor
1/13/2023,2023,Ahmedabad,360.6,273.38,109.8,33.05,33.31,48.26,4.85,20.8,135.52,8.38,41.3,1.26,485,Severe
1/13/2023,2023,Pune,234.45,54.72,52.62,98.54,160.27,36.94,0.98,19.75,143.97,2.21,28.19,0.19,234.45,Poor
1/13/2023,2023,Jaipur,367.72,387.68,45.09,185.05,90.85,50.22,3.32,29.06,9.82,4.88,37.87,0.32,387.68,Very Poor
1/13/2023,2023,Lucknow,275.28,178,37.48,131.93,34.35,35.14,4.18,91.12,82.57,8.05,44.76,2.62,418,Severe
1/14/2023,2023,Delhi,70.15,106.96,77.42,143.08,63.96,1.34,3.64,60.73,116.44,7.19,22.23,1.04,364,Very Poor
1/14/2023,2023,Mumbai,319.94,249.83,48.15,138.11,193.32,28.21,2.08,62.51,100.03,0.46,10.01,1.72,319.94,Very Poor
1/14/2023,2023,Chennai,185.53,348.73,75.58,123.17,120.35,93.07,2.39,18.38,66.25,4.14,23.45,4.9,348.73,Very Poor
1/14/2023,2023,Kolkata,164.34,278.85,134.64,166.85,126.23,47.41,1.9,31.69,134.29,7.24,11.68,1.27,278.85,Poor
1/14/2023,2023,Bengaluru,179.37,353.67,51.85,190.5,209.07,13.09,4.14,41.56,84.75,1.17,19.37,2.18,414,Severe
1/14/2023,2023,Hyderabad,136.8,65.12,69.19,176.56,107.83,4.13,1.19,123.48,49.41,1.42,22.46,3.48,176.56,Moderate
1/14/2023,2023,Ahmedabad,188.93,277.74,69.56,179.91,82.11,66.79,3.22,129.79,172.44,6.39,42.95,2.71,322,Very Poor
1/14/2023,2023,Pune,255.85,399.75,49.99,101.66,230.86,26.37,4.49,113.31,136.64,2.34,30.89,0.44,449,Severe
1/14/2023,2023,Jaipur,259.56,248.26,133.54,163.74,50.68,35.78,3.37,101.44,66,8.9,25.65,3.85,337,Very Poor
1/14/2023,2023,Lucknow,223.53,299.4,93.91,158.76,218.67,54.39,1.27,119.16,168.22,5.36,16.27,4.36,299.4,Poor
1/15/2023,2023,Delhi,236,109.87,19.21,178.97,12.93,16.66,4.94,108.72,70.31,1.68,1.55,1.55,494,Severe
1/15/2023,2023,Mumbai,88.22,299.57,51.07,193.35,201.92,56.07,2.55,57.31,141.55,1.28,20.35,2.86,299.57,Poor
1/15/2023,2023,Chennai,156.32,154.85,66.28,136.31,81.2,7.95,3.42,123.71,176.85,9.05,14.55,2.33,342,Very Poor
1/15/2023,2023,Kolkata,166.27,467.47,146.8,74.94,140.94,94.65,0.15,118.93,35.46,4.97,8.75,3.69,467.47,Severe
1/15/2023,2023,Bengaluru,373.46,313.68,67.11,141.64,162.35,23.89,1.52,66.07,175.68,3.09,43.64,4.27,373.46,Very Poor
1/15/2023,2023,Hyderabad,19.62,369.81,6.3,100.18,90.07,54.64,1.33,29.42,46.07,5.42,0.52,3.79,369.81,Very Poor
1/15/2023,2023,Ahmedabad,243.8,113.77,36.13,13.4,91.31,7.34,1.52,74.92,68.98,1.22,40.03,2.48,243.8,Poor
1/15/2023,2023,Pune,22.05,23.55,37.68,158.05,138.43,28.61,2.24,24.04,69.67,6.25,22.36,4.51,224,Poor
1/15/2023,2023,Jaipur,213.09,434.29,19.75,96.38,83.24,16.06,0.33,54.52,15.28,3.97,19.07,0.87,434.29,Severe
1/15/2023,2023,Lucknow,63.59,302.16,23.32,36.95,68.3,82.17,3.1,42.59,51.6,5.76,49.1,0.06,310,Very Poor
1/16/2023,2023,Delhi,330.88,173.11,123.72,169.27,110.7,42.68,3.47,14.36,148.66,2.16,49.22,1.97,347,Very Poor
1/16/2023,2023,Mumbai,114.43,265.65,137.12,101.92,109.81,58.59,1.62,64.59,80.96,8.29,46.35,1.57,265.65,Poor
1/16/2023,2023,Chennai,97.41,327,75.14,89.87,69.84,68.2,2.28,72.7,6.27,8.15,45.69,0.78,327,Very Poor
1/16/2023,2023,Kolkata,233.19,213.36,148.43,150.43,73.14,42.74,4.54,138.5,173.3,8.05,38.3,3.28,454,Severe
1/16/2023,2023,Bengaluru,10.6,202.35,122.63,29.84,190.3,91.14,4.22,145.84,111.57,8.32,49.15,4.22,422,Severe
1/16/2023,2023,Hyderabad,188.47,376.56,70.63,17.21,123.96,32.36,1.85,11.43,49.9,4.33,31.96,3.37,376.56,Very Poor
1/16/2023,2023,Ahmedabad,209.75,53.27,76.35,117.27,148.42,55.81,3.14,34.53,70.43,8.72,4.33,1.14,314,Very Poor
1/16/2023,2023,Pune,386.19,359.97,37.57,123.89,134.27,80.97,0.29,100.68,122.89,0.88,3.83,1.65,386.19,Very Poor
1/16/2023,2023,Jaipur,333.6,274.94,11.88,24.14,30.69,88.41,3.41,46.62,118.83,7.69,3.28,0.59,341,Very Poor
1/16/2023,2023,Lucknow,92.77,291.8,136.74,57.89,129.42,80.89,4.01,6.83,54.57,2.5,35.2,4.28,401,Severe
1/17/2023,2023,Delhi,167.17,75.73,119.4,72.58,195.83,21.67,1.53,29.6,56.08,9.52,27.48,1.19,167.17,Moderate
1/17/2023,2023,Mumbai,377.2,399.53,36.26,194.79,15.94,16.43,3.84,9.24,18.77,0.98,24.84,0.6,399.53,Very Poor
1/17/2023,2023,Chennai,340.74,211.46,119.2,12.88,239.3,84.01,1.82,60.34,144.96,1.07,27,0.95,340.74,Very Poor
1/17/2023,2023,Kolkata,300.58,400.9,55.67,25.07,191.86,38.02,3.19,6.51,143.11,9.48,48.14,3.46,400.9,Severe
1/17/2023,2023,Bengaluru,196.63,270.26,95.68,86.4,57.74,35.81,1.29,145.19,39.72,4.78,28.01,1.59,270.26,Poor
1/17/2023,2023,Hyderabad,363.38,383.8,37.25,127.27,195.57,80.61,3.29,53.06,137.12,0.78,29.21,4.58,383.8,Very Poor
1/17/2023,2023,Ahmedabad,190.82,33.54,91.89,130.15,157.91,44.67,2.25,12.14,142.89,7.1,49.67,0.47,225,Poor
1/17/2023,2023,Pune,382.42,327.28,50.39,76.91,112.4,16.93,4.71,128.63,119.17,2.39,24.8,4.32,471,Severe
1/17/2023,2023,Jaipur,231.72,183.64,8.3,75.48,242.15,70.38,3.38,74.6,162.88,0.5,6.92,1.93,338,Very Poor
1/17/2023,2023,Lucknow,181,256.41,41.21,69.83,217.38,19.08,3.47,60.9,130.5,7.49,4.33,1.85,347,Very Poor
1/18/2023,2023,Delhi,241.46,272.71,79.41,191.01,160.35,36.66,2.24,92.34,149.23,8.86,32.27,1.06,272.71,Poor
1/18/2023,2023,Mumbai,347.76,194.1,129.79,103.37,101.28,2.73,1.62,5.2,24.13,9.16,7.08,3.98,347.76,Very Poor
1/18/2023,2023,Chennai,366.71,178.86,139.55,52.93,246.86,26.94,3.24,84.46,86.94,2.34,48,0.65,366.71,Very Poor
1/18/2023,2023,Kolkata,297.03,285.22,102.71,101.72,141.97,29.97,2.44,57.13,90.28,3.33,13.89,2.67,297.03,Poor
1/18/2023,2023,Bengaluru,234.19,146.09,128.82,100.1,74.68,26.49,4.1,25.33,6.38,7.86,9.91,4.23,410,Severe
1/18/2023,2023,Hyderabad,254.06,269.75,8.6,172.37,212.33,99.48,2.03,130.34,73.32,0.12,36.1,4.51,269.75,Poor
1/18/2023,2023,Ahmedabad,287.73,196.09,75.99,71.11,15.67,58.42,3.83,139.62,34.88,6.65,34.04,0.07,383,Very Poor
1/18/2023,2023,Pune,163.73,94.8,97.59,78.76,83.22,38.39,2.89,122.15,102.69,9.63,41.97,2.32,289,Poor
1/18/2023,2023,Jaipur,284.2,334.18,58.88,182.19,38.24,9.65,2.76,68.61,99.41,5.2,38.23,1.36,334.18,Very Poor
1/18/2023,2023,Lucknow,348.68,333.47,33.61,21.57,157.43,30.89,1.86,68.35,15.43,9.5,24.68,0.6,348.68,Very Poor
1/19/2023,2023,Delhi,226.96,33.78,101.88,129.64,238.75,88.12,3.23,144.72,37.48,4.33,21.11,2.68,323,Very Poor
1/19/2023,2023,Mumbai,228.52,166.08,105.57,84.96,239.82,58.19,3.09,92.09,178.73,0.84,24.58,4.53,309,Very Poor
1/19/2023,2023,Chennai,201.38,107.73,77.37,162.2,191.46,67.48,3.2,114.96,8.47,4.86,26.3,0.54,320,Very Poor
1/19/2023,2023,Kolkata,38.59,136.49,49.82,54.41,79.64,66.16,3.89,40.68,69.53,8.5,30.71,1.1,389,Very Poor
1/19/2023,2023,Bengaluru,42.18,467.27,56.79,76.79,118.95,23.87,0.74,47.17,179.95,7.62,17.5,0.97,467.27,Severe
1/19/2023,2023,Hyderabad,393.76,241.57,50.97,172.87,228.13,6.5,3.94,104.5,12.27,8.18,38.59,2.67,394,Very Poor
1/19/2023,2023,Ahmedabad,274.41,362.03,123.46,167.35,210.19,25.84,0.67,55.56,83.84,5.75,24.84,1.14,362.03,Very Poor
1/19/2023,2023,Pune,289.76,354.96,19.89,95.49,124.24,12.24,0.4,44.13,173.91,2.89,18.38,1,354.96,Very Poor
1/19/2023,2023,Jaipur,42.62,207.34,141.93,19.16,197.32,95.72,4.35,12.26,135.82,6.23,14.87,0.89,435,Severe
1/19/2023,2023,Lucknow,325.7,403.51,83.25,40.03,232.27,11.18,0.8,17.31,73.34,5.18,33.87,0.79,403.51,Severe
1/20/2023,2023,Delhi,24.73,112.63,148.32,36.1,120.62,18.93,2.73,72.83,43.59,8.29,41.53,1.45,273,Poor
1/20/2023,2023,Mumbai,173.28,327.7,142.31,74.81,67.33,82.54,2.82,52.16,111.83,8.35,49.65,1.29,327.7,Very Poor
